,Department,Name,Price,Reviews
154,"Arts, Crafts & Sewing","Rit All-Purpose Liquid Dye, Apple Green",$3.19 - $15.99,"30,347"
155,"Arts, Crafts & Sewing",iBayam Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Porous…,$7.99,"60,996"
156,"Arts, Crafts & Sewing","Coquimbo Sewing Kit for Traveler, Adults, Beginner, Emergency, DIY Sewing Supplies…",$8.99 - $11.99,"22,558"
157,"Arts, Crafts & Sewing","Scissors, iBayam 8"" Multipurpose Scissors Bulk 3-Pack, Ultra Sharp Blade Shears, Comfort…",$9.49 - $11.99,"42,379"
158,"Arts, Crafts & Sewing",EASTHILL Big Capacity Pencil Case Canvas High Large Storage Pouch Marker Pen Case Simple…,$9.99,"16,034"
159,"Arts, Crafts & Sewing","Ring Size Adjuster for Loose Rings - 12 Pack, 2 Sizes - Jewelry Sizer, Mandrel for Making…",$7.99,"34,864"
160,"Arts, Crafts & Sewing","HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 8ft Red HTV Vinyl for Shirts, Iron on…",$8.99 - $15.99,"11,248"
161,"Arts, Crafts & Sewing",VELCRO Brand Industrial Fasteners Stick-On Adhesive | Professional Grade Heavy Duty…,$0.01 - $44.42,"2,941"
162,"Arts, Crafts & Sewing","Elmer's All-Purpose Glue Stick, 0.21 oz, Single Stick (E511)",$3.23 - $36.56,"22,958"
163,"Arts, Crafts & Sewing","BOSOBO Paint Brushes Set, 2 Pack 20 Pcs Round Pointed Tip Paintbrushes Nylon Hair…",$6.99,"29,748"
164,"Arts, Crafts & Sewing",Paper Mate Flair Felt Tip Pens | Medium Point 0.7 Millimeter Marker Pens | School Supplies…,$9.97 - $32.23,"30,634"
165,"Arts, Crafts & Sewing","Amazon Basics Multipurpose, Comfort Grip, Titanium Fused, Stainless Steel Office…",$8.97,"21,497"
166,"Arts, Crafts & Sewing",YRYM HT Clear Vinyl Transfer Paper Tape Roll-12 x 50 FT w/Alignment Grid Application…,$16.88,"36,478"
167,"Arts, Crafts & Sewing",Paxcoo 1mm Elastic Bracelet String Cord Stretch Bead Cord for Jewelry Making and…,$5.99,"5,796"
168,"Arts, Crafts & Sewing","Super Saver Yarn, Real Teal - 1",$3.00 - $15.00,
169,"Arts, Crafts & Sewing","HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 20ft Apple Green HTV Vinyl for Shirts,…",$17.99 - $20.99,"12,896"
170,"Arts, Crafts & Sewing","Epoxy-Resin-Crystal-Clear-Kit for Art, Jewelry, Crafts，Coating- 16 OZ Including 8OZ Resin…",$18.99,"17,742"
171,"Arts, Crafts & Sewing","[Upgraded] 8 Sets Button Pins for Jeans, TOOVREN Perfect Fit Jean Button…",$6.99,"2,703"
172,"Arts, Crafts & Sewing","Apple Barrel Acrylic Paint in Assorted Colors (2 oz), 21484, Admiral Blue",$0.25 - $10.88,"8,739"
173,"Arts, Crafts & Sewing","Xinart Cutting Mat for Cricut Maker 3/Maker/Explore 3/Air 2/Air/One(12x24 Inch,…",$7.91 - $29.99,"18,954"
174,"Arts, Crafts & Sewing","3 Pack PTFE Teflon Sheet for Heat Press Transfer Sheet Non Stick 16 x 20"" Heat…",$6.95,"29,201"
175,"Arts, Crafts & Sewing","HeatnBond Hem Iron-On Adhesive, Super Weight, 3/4 Inch x 8 Yards, Black",$1.97 - $8.04,"9,659"
176,"Arts, Crafts & Sewing",Goo Gone Adhesive Remover - 8 Ounce - Surface Safe Adhesive Remover Safely…,$2.99 - $13.79,"13,304"
